Ціна,Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Місто,Район,Працює ліфт,Підключене резервне живлення
6500.0,5,5,50.0,7.0,2 кімнати,З меблями,Косметичний ремонт,Інженерний,Невідомо,0,0
15000.0,7,10,58.0,12.0,2 кімнати,Не вказано,Євроремонт,Софіївська Борщагівка,Невідомо,0,0
3000.0,3,9,33.0,8.0,1 кімната,Не вказано,Не вказано,Херсон,Невідомо,0,0
12174.0,1,22,41.0,14.0,1 кімната,З меблями,Євроремонт,Одеса,Приморський (Одеса),0,0
4000.0,11,11,38.0,9.0,1 кімната,З меблями,Не вказано,Одеса,Хаджибейський (Одеса),0,0
20000.0,21,22,98.0,12.0,3 кімнати,З меблями,Євроремонт,Київ,Дарницький (Київ),0,0
35000.0,9,9,86.0,20.0,3 кімнати,З меблями,Авторський проект,Київ,Дніпровський (Київ),0,0
9500.0,1,2,42.0,18.0,1 кімната,З меблями,Авторський проект,Одеса,Приморський (Одеса),1,0
20000.0,11,12,47.0,15.0,2 кімнати,З меблями,Євроремонт,Дніпро,Центральний (Дніпро),0,0
15000.0,3,3,65.0,10.0,3 кімнати,З меблями,Авторський проект,Харків,Київський (Харків),0,0
29000.0,32,34,43.0,13.0,1 кімната,З меблями,Авторський проект,Київ,Голосіївський (Київ),0,0
16231.0,3,5,70.0,12.0,3 кімнати,З меблями,Євроремонт,Львів,Сихівський (Львів),0,0
4500.0,4,9,64.0,7.0,3 кімнати,З меблями,Косметичний ремонт,Харків,Шевченківський  (Харків),0,0
4800.0,8,9,36.0,25.0,1 кімната,З меблями,Авторський проект,Харків,Київський (Харків),0,0
5999.0,5,5,52.0,7.0,2 кімнати,З меблями,Косметичний ремонт,Запоріжжя,Вознесенівський (Запоріжжя),0,0
4900.0,1,5,33.0,7.0,1 кімната,Не вказано,Не вказано,Харків,Шевченківський  (Харків),0,0
12174.0,5,5,32.0,7.0,1 кімната,З меблями,Євроремонт,Кременчук,Невідомо,0,0
43869.0,4,23,85.0,20.0,2 кімнати,З меблями,Євроремонт,Київ,Дарницький (Київ),1,0
16231.0,3,5,58.0,10.0,2 кімнати,З меблями,Не вказано,Ужгород,Невідомо,0,0
3500.0,11,16,53.0,9.0,2 кімнати,З меблями,Житловий стан,Харків,Шевченківський  (Харків),0,0
6000.0,4,5,38.0,12.0,2 кімнати,З меблями,Косметичний ремонт,Харків,Слобідський (Харків),0,0
10000.0,5,9,54.0,8.0,3 кімнати,З меблями,Євроремонт,Запоріжжя,Вознесенівський (Запоріжжя),0,0
16000.0,1,5,56.0,9.0,2 кімнати,З меблями,Косметичний ремонт,Ужгород,Невідомо,0,0
101447.0,5,7,100.0,12.0,3 кімнати,З меблями,Авторський проект,Київ,Шевченківський (Київ),0,0
18000.0,7,9,43.0,16.0,1 кімната,З меблями,Авторський проект,Луцьк,Невідомо,0,0
91302.0,5,6,130.0,12.0,4 кімнати,З меблями,Авторський проект,Київ,Шевченківський (Київ),0,0
7999.0,2,5,35.0,7.0,2 кімнати,З меблями,Не вказано,Черкаси,Невідомо,0,0
9500.0,1,5,25.0,5.0,1 кімната,З меблями,Не вказано,Ужгород,Невідомо,0,0
20289.0,3,15,56.0,22.0,1 кімната,З меблями,Євроремонт,Львів,Франківський (Львів),0,0
26000.0,3,5,57.0,18.0,2 кімнати,З меблями,Євроремонт,Полтава,Невідомо,0,0
14000.0,1,5,47.0,15.0,1 кімната,З меблями,Євроремонт,Рівне,Невідомо,0,0
18260.0,25,25,42.0,18.0,1 кімната,З меблями,Авторський проект,Одеса,Приморський (Одеса),1,1
15000.0,7,9,45.0,17.0,1 кімната,З меблями,Не вказано,Львів,Сихівський (Львів),0,0
5000.0,6,9,40.0,6.0,1 кімната,З меблями,Євроремонт,Миколаїв,Iнгульський (Миколаїв),0,0
7400.0,2,9,26.0,6.0,1 кімната,З меблями,Не вказано,Дніпро,Соборний (Дніпро),0,0
24347.0,7,10,76.0,13.8,2 кімнати,З меблями,Євроремонт,Львів,Шевченківський (Львів),0,0
14000.0,6,21,42.0,16.0,2 кімнати,З меблями,Євроремонт,Київ,Дніпровський (Київ),0,0
36000.0,2,7,82.0,10.0,3 кімнати,З меблями,Євроремонт,Київ,Шевченківський (Київ),1,1
35506.0,18,26,73.0,30.0,2 кімнати,З меблями,Авторський проект,Дніпро,Соборний (Дніпро),1,1
40000.0,22,22,200.0,15.0,5+ кімнат,З меблями,Авторський проект,Київ,Дарницький (Київ),0,0
2000.0,6,9,18.0,4.0,1 кімната,З меблями,Житловий стан,Кривий Ріг,Невідомо,0,0
9000.0,5,16,50.0,19.0,1 кімната,З меблями,Не вказано,Київ,Голосіївський (Київ),0,1
20289.0,19,24,60.0,15.0,2 кімнати,З меблями,Євроремонт,Одеса,Приморський (Одеса),1,1
13000.0,8,10,46.0,8.0,2 кімнати,З меблями,Євроремонт,Рівне,Невідомо,0,0
4500.0,4,5,67.0,12.0,3 кімнати,З меблями,Не вказано,Кривий Ріг,Невідомо,0,0
7800.0,2,5,30.0,7.0,1 кімната,З меблями,Житловий стан,Інше,Невідомо,0,0
10000.0,4,5,60.0,9.0,2 кімнати,Не вказано,Не вказано,Київ,Оболонський (Київ),0,0
8500.0,3,9,42.0,12.0,1 кімната,Не вказано,Євроремонт,Івано-Франківськ,Невідомо,0,0
12700.0,8,25,44.0,15.0,1 кімната,З меблями,Євроремонт,Київ,Святошинський (Київ),1,0
16500.0,12,13,41.0,10.0,1 кімната,З меблями,Євроремонт,Львів,Шевченківський (Львів),0,0
6000.0,4,5,45.0,6.0,2 кімнати,З меблями,Не вказано,Харків,Салтівський (Харків),0,0
24000.0,10,18,60.0,25.0,2 кімнати,З меблями,Євроремонт,Дніпро,Центральний (Дніпро),0,0
16231.0,3,3,140.0,25.0,5+ кімнат,З меблями,Євроремонт,Інше,Невідомо,0,0
12000.0,7,9,53.0,8.0,2 кімнати,З меблями,Житловий стан,Київ,Оболонський (Київ),0,0
6000.0,1,1,32.0,10.0,1 кімната,З меблями,Косметичний ремонт,Чернівці,Невідомо,0,0
6000.0,3,3,48.0,7.0,2 кімнати,З меблями,Косметичний ремонт,Кам'янець-Подільський,Невідомо,0,0
14500.0,7,7,80.0,25.0,2 кімнати,Не вказано,Євроремонт,Інше,Невідомо,0,0
17000.0,3,5,58.0,6.0,3 кімнати,З меблями,Євроремонт,Дніпро,Центральний (Дніпро),0,0
8000.0,7,19,36.0,8.0,1 кімната,З меблями,Євроремонт,Одеса,Хаджибейський (Одеса),0,0
10000.0,3,9,41.0,1.0,1 кімната,З меблями,Не вказано,Інше,Невідомо,0,0
14000.0,1,5,107.0,8.0,4 кімнати,З меблями,Євроремонт,Харків,Основ'янський (Харків),0,0
43859.0,4,23,85.0,20.0,2 кімнати,З меблями,Євроремонт,Київ,Дарницький (Київ),1,0
11500.0,10,10,56.0,17.0,2 кімнати,З меблями,Євроремонт,Кам'янець-Подільський,Невідомо,0,0
3500.0,8,9,38.0,8.0,1 кімната,З меблями,Косметичний ремонт,Харків,Київський (Харків),0,0
101447.0,12,17,175.0,20.0,4 кімнати,Не вказано,Авторський проект,Київ,Шевченківський (Київ),0,0
14000.0,9,9,59.0,7.0,3 кімнати,З меблями,Авторський проект,Луцьк,Невідомо,0,0
28000.0,2,4,45.0,10.0,1 кімната,З меблями,Євроремонт,Київ,Печерський (Київ),0,0
12174.0,2,4,40.0,8.0,1 кімната,З меблями,Євроремонт,Інше,Невідомо,0,0
8500.0,5,5,43.0,8.0,2 кімнати,З меблями,Не вказано,Дніпро,Центральний (Дніпро),0,0
6000.0,5,18,42.0,10.0,1 кімната,З меблями,Євроремонт,Одеса,Київський (Одеса),0,0
4000.0,7,9,37.0,8.0,1 кімната,З меблями,Житловий стан,Одеса,Київський (Одеса),0,0
17000.0,6,10,47.0,20.0,1 кімната,З меблями,Не вказано,Львів,Шевченківський (Львів),0,0
2500.0,1,2,20.0,4.0,1 кімната,З меблями,Не вказано,Запоріжжя,Невідомо,0,0
32463.0,2,2,40.0,8.0,1 кімната,З меблями,Євроремонт,Ужгород,Невідомо,0,0
11000.0,3,9,40.0,10.0,1 кімната,З меблями,Євроремонт,Дніпро,Соборний (Дніпро),0,0
4000.0,2,9,35.0,6.0,3 кімнати,Не вказано,Не вказано,Інше,Невідомо,0,0
14000.0,4,8,54.0,18.0,1 кімната,З меблями,Євроремонт,Полтава,Невідомо,0,0
